,Unnamed: 0,Client ID,Client tenure year,Client tenure month,Client age,Gender,Number of accounts,Balance,Calls in the last 6 months,Log ons in the last 6 months,Variation,confirm,start,step_1,step_2,step_3,visit_duration
42408,42408,730497,10.0,125.0,28.0,M,2.0,53285.34,6.0,9.0,Control,1,1,1,1,1,8
42409,42409,9040013,8.0,106.0,66.0,F,2.0,42217.56,2.0,5.0,Control,1,1,1,1,1,6
42412,42412,4809354,4.0,59.0,22.0,U,2.0,49102.5,2.0,5.0,Test,1,2,4,1,1,63
42413,42413,7833991,5.0,70.0,58.0,U,2.0,42621.0,4.0,8.0,Test,2,1,1,1,1,13
42414,42414,8102582,11.0,139.0,40.0,M,2.0,67744.86,2.0,5.0,Test,0,1,1,1,1,3
42416,42416,9420690,15.0,186.0,54.0,M,2.0,62776.06,4.0,7.0,Control,1,1,1,2,1,7
42417,42417,7223068,5.0,71.0,30.0,U,2.0,47246.32,6.0,9.0,Test,1,1,1,1,1,2
42418,42418,1772744,6.0,83.0,46.0,U,2.0,32955.6,2.0,5.0,Control,1,1,1,1,1,6
42419,42419,3826483,13.0,158.0,34.0,F,2.0,42514.73,0.0,3.0,Control,0,2,2,2,0,1
42420,42420,1446719,6.0,72.0,42.0,U,2.0,56833.68,2.0,5.0,Control,1,1,1,1,1,4
42421,42421,3756644,21.0,252.0,36.0,M,3.0,366020.5,0.0,3.0,Control,1,1,1,1,1,2
42422,42422,8732751,20.0,250.0,56.0,F,3.0,863740.35,2.0,5.0,Test,1,2,2,1,1,3
42423,42423,8703833,20.0,246.0,47.0,F,2.0,291546.34,6.0,9.0,Control,1,1,1,1,1,1
42424,42424,3606933,20.0,244.0,32.0,M,2.0,120033.06,2.0,5.0,Test,0,2,0,0,0,2
42425,42425,207387,34.0,408.0,75.0,F,2.0,1527807.52,2.0,5.0,Test,0,6,1,2,1,7
42426,42426,3703821,12.0,146.0,31.0,F,2.0,39561.08,0.0,3.0,Test,0,2,1,0,0,1
42427,42427,143688,7.0,85.0,46.0,U,2.0,85853.87,2.0,5.0,Control,1,6,5,3,3,6
42428,42428,6774962,7.0,93.0,30.0,M,2.0,81226.54,6.0,9.0,Test,1,2,2,1,1,8
42429,42429,3149390,13.0,160.0,36.0,F,2.0,134006.95,6.0,9.0,Control,1,1,1,1,1,2
42430,42430,2770274,16.0,202.0,58.0,F,2.0,40176.42,3.0,6.0,Test,1,3,2,2,2,15
42431,42431,9573863,17.0,215.0,50.0,F,3.0,148090.7,5.0,8.0,Test,1,1,1,1,1,4
42432,42432,9531073,13.0,166.0,46.0,F,2.0,61771.37,0.0,3.0,Control,1,2,1,1,1,4
42433,42433,6115276,12.0,152.0,58.0,M,2.0,130251.98,3.0,6.0,Control,1,1,1,1,1,2
42434,42434,9683032,6.0,83.0,64.0,U,3.0,930327.61,5.0,8.0,Test,1,1,1,1,1,3
42435,42435,5144248,16.0,203.0,34.0,F,2.0,91849.14,3.0,6.0,Test,1,1,1,1,1,2
42437,42437,6913436,16.0,201.0,44.0,F,2.0,112358.7,6.0,9.0,Test,2,3,3,1,1,1
42438,42438,4166764,5.0,70.0,50.0,U,2.0,45566.3,3.0,6.0,Control,0,1,1,2,0,2
42439,42439,35091,7.0,85.0,24.0,U,2.0,28881.02,0.0,3.0,Test,0,2,1,0,0,1
42440,42440,1840578,4.0,57.0,30.0,U,2.0,70642.65,6.0,9.0,Test,1,1,1,1,1,2
42441,42441,9285946,13.0,158.0,32.0,M,2.0,36089.99,4.0,7.0,Test,2,4,4,1,1,10
42442,42442,3235641,8.0,98.0,46.0,F,2.0,44848.08,1.0,4.0,Test,1,1,1,1,1,2
42443,42443,979164,6.0,83.0,78.0,U,2.0,176844.1,6.0,9.0,Test,1,3,3,3,3,25
42444,42444,7853438,10.0,125.0,54.0,M,2.0,31578.03,3.0,6.0,Control,1,1,1,1,1,10
42445,42445,2276090,8.0,101.0,28.0,U,2.0,34946.02,2.0,5.0,Control,1,2,1,2,2,4
42446,42446,373892,8.0,103.0,26.0,M,2.0,25309.02,0.0,3.0,Control,1,1,1,1,1,4
42447,42447,2100661,9.0,109.0,56.0,F,2.0,309977.44,3.0,6.0,Control,1,1,1,3,1,8
42448,42448,6631920,6.0,80.0,26.0,U,2.0,52412.51,1.0,4.0,Control,0,1,1,2,1,2
42449,42449,319514,16.0,195.0,64.0,M,4.0,933735.76,6.0,9.0,Test,1,6,4,1,1,7
42450,42450,5979365,10.0,126.0,70.0,F,2.0,72656.99,2.0,5.0,Test,2,5,1,1,1,65
42451,42451,1859491,13.0,163.0,34.0,F,2.0,36459.88,4.0,7.0,Test,1,3,3,1,1,4
42452,42452,9655711,4.0,58.0,32.0,U,2.0,31277.77,0.0,3.0,Control,0,4,3,2,0,10
42453,42453,679314,7.0,85.0,63.0,U,2.0,93070.46,0.0,3.0,Test,0,1,1,1,1,2
42454,42454,7564510,4.0,54.0,22.0,U,2.0,28556.56,0.0,3.0,Control,1,1,1,1,1,6
42455,42455,5133382,14.0,177.0,22.0,F,3.0,39321.25,3.0,6.0,Test,1,1,1,1,1,2
42456,42456,8923376,6.0,77.0,57.0,F,2.0,131206.07,6.0,9.0,Test,0,4,3,0,0,1
